ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
145,CSJ JUNIN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,73
146,CSJ JUNIN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,72
147,CSJ JUNIN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,364
148,CSJ LA LIBERTAD,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,1837
149,CSJ LA LIBERTAD,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,12867
150,CSJ LA LIBERTAD,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,986
ITEM,CORTE,INDICADOR,DELITO,ARTICULO,AÑO,CANTIDAD
151,CSJ LA LIBERTAD,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,2610
152,CSJ LA LIBERTAD,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,18697
153,CSJ LA LIBERTAD,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,1974
154,CSJ LA LIBERTAD,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,2284
155,CSJ LA LIBERTAD,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,14806
156,CSJ LA LIBERTAD,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,1833
157,CSJ LA LIBERTAD - ASCOPE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,1903
158,CSJ LA LIBERTAD - ASCOPE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,24
159,CSJ LA LIBERTAD - ASCOPE,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,24
160,CSJ LA LIBERTAD - CHEPEN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,2567
161,CSJ LA LIBERTAD - CHEPEN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,92
162,CSJ LA LIBERTAD - CHEPEN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,36
"",CSJ LA LIBERTAD -,,,,,
163,,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,44
"",HUAMACHUCO,,,,,
"",CSJ LA LIBERTAD -,,,,,
164,,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,463
"",HUAMACHUCO,,,,,
"",CSJ LA LIBERTAD -,,,,,
165,,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,77
"",HUAMACHUCO,,,,,
166,CSJ LA LIBERTAD - OTUZCO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,33
167,CSJ LA LIBERTAD - OTUZCO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,180
168,CSJ LA LIBERTAD - OTUZCO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,69
169,CSJ LA LIBERTAD - PAIJAN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,1065
170,CSJ LA LIBERTAD - PAIJAN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,172
171,CSJ LA LIBERTAD - PAIJAN,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,130
172,CSJ LA LIBERTAD - SAN PEDRO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2020,197
173,CSJ LA LIBERTAD - SAN PEDRO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,697
174,CSJ LA LIBERTAD - SAN PEDRO,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,1931
175,CSJ LA LIBERTAD - VIRU,INGRESOS,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,1
