ITEM,CORTE,ACTO PROCESAL,DELITO,ARTICULO,AÑO,CANTIDAD
106,CSJ DEL SANTA,SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2021,12
107,CSJ DEL SANTA,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,7
108,CSJ DEL SANTA,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2021,3
109,CSJ DEL SANTA,SENTENCIA ABSOLUTORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2021,13
110,CSJ DEL SANTA,SENTENCIA IMPROCENTE,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,1
111,CSJ DEL SANTA,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,19
112,CSJ DEL SANTA,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,7
113,CSJ DEL SANTA,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.2.,2022,11
114,CSJ DEL SANTA,SENTENCIA NULA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,1
115,CSJ DEL SANTA,SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2022,9
116,CSJ DEL SANTA,SENTENCIA ABSOLUTORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,17
117,CSJ DEL SANTA,SENTENCIA CONDENATORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2022,25
118,CSJ HUANCAVELICA,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,1
119,CSJ HUANUCO,SENTENCIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.3.,2020,1
120,CSJ HUANUCO,SENTENCIA ABSOLUTORIA,DELITOS CONTRA EL PATRIMONIO,Extorsión. - Art. 200.1.,2020,32
ITEM,CORTE,ACTO PROCESAL,DELITO,ARTICULO,AÑO,CANTIDAD
